wn,T
3.850000e+03,1.201096e+01
3.860000e+03,1.188960e+01
3.870000e+03,1.027930e+01
3.880000e+03,1.009037e+01
3.890000e+03,9.851366e+00
3.900000e+03,9.745785e+00
3.910000e+03,9.404410e+00
3.920000e+03,9.036649e+00
3.930000e+03,8.508631e+00
3.940000e+03,8.201529e+00
3.950000e+03,7.985222e+00
3.960000e+03,8.043916e+00
3.970000e+03,8.143904e+00
3.980000e+03,8.479626e+00
3.990000e+03,8.953402e+00
4.000000e+03,9.838556e+00
4.010000e+03,1.030585e+01
4.020000e+03,1.107393e+01
4.030000e+03,1.111375e+01
4.040000e+03,1.015109e+01
4.050000e+03,8.546061e+00
4.060000e+03,6.910769e+00
4.070000e+03,5.502761e+00
4.080000e+03,4.592345e+00
4.090000e+03,4.005459e+00
4.100000e+03,3.659234e+00
4.110000e+03,3.555753e+00
4.120000e+03,3.663086e+00
4.130000e+03,4.060218e+00
4.140000e+03,4.717867e+00
4.150000e+03,5.790919e+00
4.160000e+03,7.352818e+00
4.170000e+03,9.164140e+00
4.180000e+03,1.055408e+01
4.190000e+03,1.010649e+01
4.200000e+03,8.416821e+00
4.210000e+03,6.656996e+00
4.220000e+03,5.350916e+00
4.230000e+03,4.510694e+00
4.240000e+03,3.958536e+00
4.250000e+03,3.755899e+00
4.260000e+03,3.774528e+00
4.270000e+03,3.944502e+00
4.280000e+03,4.418423e+00
4.290000e+03,5.048565e+00
4.300000e+03,6.036676e+00
4.310000e+03,7.278629e+00
4.320000e+03,8.192270e+00
4.330000e+03,9.176626e+00
4.340000e+03,9.594262e+00
4.350000e+03,9.245788e+00
4.360000e+03,8.727535e+00
4.370000e+03,8.114855e+00
4.380000e+03,7.424786e+00
4.390000e+03,6.995668e+00
4.400000e+03,6.658173e+00
4.410000e+03,6.535259e+00
4.420000e+03,6.348324e+00
4.430000e+03,6.232945e+00
4.440000e+03,6.163785e+00
4.450000e+03,6.167255e+00
4.460000e+03,6.258838e+00
4.470000e+03,6.448733e+00
4.480000e+03,6.756128e+00
4.490000e+03,7.318497e+00
4.500000e+03,7.834723e+00
4.510000e+03,8.381868e+00
4.520000e+03,8.643936e+00
4.530000e+03,8.967523e+00
4.540000e+03,9.048917e+00
4.550000e+03,8.859474e+00
4.560000e+03,8.453056e+00
4.570000e+03,7.747168e+00
4.580000e+03,7.153320e+00
4.590000e+03,6.569642e+00
4.600000e+03,5.912548e+00
4.610000e+03,5.472313e+00
4.620000e+03,5.128529e+00
4.630000e+03,4.676868e+00
4.640000e+03,4.567902e+00
4.650000e+03,4.588604e+00
4.660000e+03,4.668704e+00
4.670000e+03,5.002577e+00
4.680000e+03,5.520987e+00
4.690000e+03,6.384231e+00
4.700000e+03,7.235740e+00
4.710000e+03,7.976313e+00
4.720000e+03,8.246163e+00
4.730000e+03,7.837506e+00
4.740000e+03,7.085374e+00
4.750000e+03,6.053255e+00
4.760000e+03,5.173977e+00
4.770000e+03,4.537034e+00
4.780000e+03,4.132424e+00
4.790000e+03,3.932508e+00
4.800000e+03,3.984232e+00
4.810000e+03,4.147502e+00
4.820000e+03,4.415800e+00
4.830000e+03,4.945651e+00
4.840000e+03,5.657054e+00
4.850000e+03,6.686692e+00
4.860000e+03,7.529854e+00
4.870000e+03,8.119966e+00
4.880000e+03,8.146077e+00
4.890000e+03,7.984164e+00
4.900000e+03,7.606577e+00
4.910000e+03,7.017956e+00
4.920000e+03,6.596316e+00
4.930000e+03,6.211033e+00
4.940000e+03,5.737641e+00
4.950000e+03,5.409130e+00
4.960000e+03,4.995737e+00
4.970000e+03,4.883063e+00
4.980000e+03,4.659979e+00
4.990000e+03,4.519188e+00
5.000000e+03,4.485360e+00
5.010000e+03,4.581558e+00
5.020000e+03,5.027534e+00
5.030000e+03,5.467201e+00
5.040000e+03,6.083565e+00
5.050000e+03,6.805854e+00
5.060000e+03,7.436731e+00
5.070000e+03,7.675581e+00
5.080000e+03,7.714547e+00
5.090000e+03,6.884577e+00
5.100000e+03,5.922607e+00
5.110000e+03,5.078921e+00
5.120000e+03,4.444641e+00
5.130000e+03,4.100473e+00
5.140000e+03,3.856993e+00
5.150000e+03,3.776203e+00
5.160000e+03,3.957195e+00
5.170000e+03,4.171516e+00
5.180000e+03,4.524750e+00
5.190000e+03,4.887728e+00
5.200000e+03,5.449152e+00
5.210000e+03,6.038049e+00
5.220000e+03,6.707160e+00
5.230000e+03,7.026188e+00
5.240000e+03,6.912046e+00
5.250000e+03,6.883244e+00
5.260000e+03,6.482777e+00
5.270000e+03,5.994265e+00
5.280000e+03,5.498034e+00
5.290000e+03,5.046697e+00
5.300000e+03,4.784105e+00
5.310000e+03,4.488877e+00
5.320000e+03,4.290369e+00
5.330000e+03,4.510040e+00
5.340000e+03,4.647726e+00
5.350000e+03,4.772599e+00
5.360000e+03,4.902532e+00
5.370000e+03,5.269802e+00
5.380000e+03,6.040054e+00
5.390000e+03,6.602029e+00
5.400000e+03,7.127450e+00
5.410000e+03,7.300482e+00
5.420000e+03,7.383835e+00
5.430000e+03,7.178774e+00
5.440000e+03,7.485662e+00
5.450000e+03,6.907415e+00
5.460000e+03,6.313799e+00
5.470000e+03,5.613957e+00
5.480000e+03,5.136509e+00
5.490000e+03,4.733442e+00
5.500000e+03,4.287035e+00
5.510000e+03,4.052588e+00
5.520000e+03,4.011260e+00
5.530000e+03,3.966790e+00
5.540000e+03,4.043317e+00
5.550000e+03,4.364662e+00
5.560000e+03,4.760962e+00
5.570000e+03,5.347706e+00
5.580000e+03,6.232752e+00
5.590000e+03,6.956692e+00
5.600000e+03,7.258793e+00
5.610000e+03,7.234885e+00
